id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.42127728,0.013928041,0.000117526535,9.111373e-06,0.07646696,0.05413587,0.27326548
19220,0.19665608,0.0024953187,0.031690124,0.0034933365,0.20285945,0.16232507,0.37177303
19221,0.0025783952,0.008319393,0.021516377,0.0006284329,0.0043685394,0.33332628,0.5690267
19222,0.1790678,0.00028894123,0.00027532977,0.00011137554,0.0038757168,0.3234651,0.53859186
19223,0.0053445688,0.0080245705,0.0009512714,0.004134671,0.014034882,0.5518223,0.42503372
19224,0.0019828612,0.5939557,4.8516213e-06,7.8599663e-07,0.0003519937,0.15373453,0.22672811
19225,0.24544314,0.0025272437,0.000500536,0.00014931354,0.02270721,0.21383908,0.51904625
19226,0.022903886,0.18846563,0.024557915,0.007348519,0.06823872,0.39226252,0.4497435
19227,0.0036169395,0.07029754,0.43722594,0.0026256307,0.007509376,0.111893356,0.3902222
19228,0.2670523,0.00014830948,4.1677147e-05,4.057367e-06,0.0010363903,0.21813545,0.51088685
19229,0.012973605,0.012776817,0.005304194,0.00032679262,0.005816857,0.3963111,0.5073584
19230,0.0011785951,0.0423531,0.8090424,2.0058504e-05,0.0014563847,0.05367058,0.19796951
19231,2.0685427e-05,2.3859252e-07,0.9714466,7.888465e-06,4.604279e-06,1.5577063e-05,0.047981482
19232,0.049729444,0.02565864,0.0002741006,7.5754135e-05,0.002897694,0.2472516,0.63388383
19233,0.0069499267,0.005434358,0.0021448631,0.00063513767,0.007825638,0.36948863,0.5970535
19234,0.003723309,0.015506988,0.0023646748,0.00082605844,0.010366258,0.50578713,0.5196508
19235,0.009370623,0.0025360496,0.0003579608,0.0004683015,0.0028451206,0.68909645,0.29905754
19236,0.0148519175,0.022608945,0.043172233,0.0025460662,0.041897323,0.33865452,0.53338754
19237,0.17623869,0.0011819972,0.00027425666,9.8744924e-05,0.0058221477,0.44214168,0.3609343
19238,0.0023022352,0.024044791,0.00027985242,0.0005128906,0.0044328286,0.51081884,0.39669666
19239,3.9963565e-05,2.6429327e-05,0.9357752,3.1041764e-05,9.820331e-06,0.0003863578,0.0878717
19240,0.22984457,0.00052746333,0.00010221463,2.170814e-05,0.01529769,0.2797263,0.4113593
19241,0.0005877704,0.0033911304,0.00027029202,3.207956e-05,0.0006721388,0.63128495,0.38353863
19242,3.035732e-07,1.7161279e-06,0.97837126,5.17946e-08,1.6697382e-07,5.5561206e-05,0.039768364
19243,0.21553011,0.17442222,0.00025897153,8.969165e-05,0.010046999,0.19498995,0.39731038
19244,2.7920642e-05,2.8438922e-07,0.96116394,1.1399375e-06,1.2528155e-05,0.00023110794,0.06105358
19245,0.04787218,0.03693834,0.00020418367,0.00015805612,0.0084507475,0.22569281,0.6219584
19246,0.10534461,0.015128974,0.00018334175,7.127063e-05,0.47240123,0.045744125,0.28173304
19247,0.041206434,0.10773387,0.058394995,0.004773709,0.04639483,0.39184704,0.41569266
19248,0.00015701739,1.4964911e-06,0.8775526,0.000465436,0.00010128522,0.0037763712,0.08870526
19249,0.0013018139,0.002468482,0.00010903541,3.0662897e-05,0.0007259833,0.72718865,0.3235361
19250,0.041636728,0.00041129036,0.03757698,0.5948526,0.021605529,0.06248339,0.28717577
19251,0.106708586,4.4763172e-05,1.9032186e-05,9.467967e-06,0.0009937098,0.57037663,0.31931198
19252,0.0010245299,0.25966617,2.1498166e-05,5.1058346e-06,0.00033445164,0.43934155,0.28627083
19253,0.018007468,0.010499727,0.33519176,0.011956299,0.015554398,0.11999033,0.4351037
19254,0.0028051094,0.21138363,0.00018059554,2.949616e-05,0.001358524,0.41610992,0.32144627
19255,0.32431862,0.0008099168,0.0003564534,9.527517e-05,0.019390227,0.18463382,0.49413967
19256,0.03193818,0.61294997,1.2788342e-07,1.0874331e-06,0.0029165568,0.07447216,0.2734972
19257,0.10710908,0.037405666,0.035699718,0.00403529,0.05004752,0.32073689,0.4457727
19258,0.28463557,9.847656e-05,2.5329411e-05,1.396631e-06,0.0005340595,0.16675583,0.5374238
19259,0.00020874549,6.471552e-05,0.8535695,0.00016128599,0.00013832701,0.0052883574,0.122554265
19260,0.01470393,0.40579933,0.00028783732,0.0014543246,0.010825779,0.15628864,0.41737172
19261,0.00612391,0.00093288266,0.8192969,0.00012297524,0.0019384034,0.027699849,0.13079663
19262,0.05881569,0.006271691,0.0014712218,0.0036943483,0.033253323,0.42775115,0.4698719
19263,0.16562745,0.000743711,0.0011725812,0.0011265439,0.021573855,0.42352298,0.37736014
19264,0.01480665,0.0005808912,3.4609922e-05,2.2234103e-06,0.000121214805,0.7834888,0.19954199
19265,0.05042763,0.0007888671,0.00042997504,0.00601398,0.035482455,0.3860975,0.5759822
19266,0.00061807985,0.0007231461,0.88269454,2.5421032e-05,0.0018442508,0.0010333542,0.12833808
19267,0.1117937,0.00998382,0.0006220897,0.00021962897,0.43330163,0.12646727,0.36464015
19268,0.00037137693,0.00867075,0.0033539983,6.365985e-05,0.0009467166,0.11299907,0.82360363
19269,1.1212139e-06,4.1767073e-08,0.98503876,3.9328917e-08,7.108532e-08,1.4608297e-05,0.02097143
19270,0.029530091,0.0005498126,5.308252e-05,3.5983714e-06,0.74406356,0.00770648,0.17914279
19271,0.009130679,0.0122689875,0.009791003,0.0005812346,0.008331499,0.3733683,0.5472184
19272,0.24540964,0.006393947,0.005936582,0.00023418762,0.011238529,0.33438742,0.3178635
19273,0.0057106433,0.0036781542,5.744158e-05,0.0019019082,0.0065596984,0.628937,0.42736757
19274,0.011763982,0.011655828,0.0009828728,0.00035795002,0.005775935,0.50620556,0.4817294
19275,0.048008118,0.0012091876,0.010726355,0.00080991955,0.0064229458,0.6516502,0.27519748
19276,0.010575397,0.095495515,0.02248306,0.0012246491,0.016560724,0.3104742,0.48872456
19277,0.00030439615,0.0025970233,0.0009531829,2.3265267e-05,0.0006570779,0.19933654,0.7812132
19278,0.012791206,0.010046482,0.005769717,0.0009679363,0.01037423,0.44285634,0.461374
19279,0.07729457,0.004935451,0.0076167216,0.0022658242,0.03465292,0.21958934,0.61830103
19280,0.08415901,0.10164621,0.0013595419,0.0014289137,0.036148116,0.33568886,0.4069402
19281,1.8687786e-06,4.2476022e-05,0.95823294,1.8323065e-07,2.9225544e-06,0.0002755622,0.07448285
19282,0.14014857,0.003531487,0.00068892835,0.00015209886,0.0031974749,0.54126346,0.35336286
19283,0.0008979688,0.03164018,0.6956628,0.00019257423,0.0013448001,0.051950388,0.2691024
19284,0.024947735,0.040127,0.17402482,0.004330844,0.017685968,0.16455074,0.48647863
19285,0.009596033,0.0028334605,0.80728996,0.00020641106,0.0019350611,0.02975553,0.17188577
19286,0.005626876,0.012071611,0.5182404,0.0007336236,0.0024034085,0.029985674,0.37046212
19287,0.064506724,0.0038201187,0.006746057,0.005967322,0.043466628,0.41370928,0.46009058
